timestamp,machine_id,temperature,vibration,current,load,operating_hours
2026-09-01 08:00,MTR-024,65.3,4.48,11.7,67.09,4200
2026-09-01 09:00,MTR-024,65.49,4.55,11.86,67.06,4201
2026-09-01 10:00,MTR-024,66.58,4.59,11.92,65.59,4202
2026-09-01 11:00,MTR-024,66.64,4.68,11.93,66.2,4203
2026-09-01 12:00,MTR-024,66.2,4.93,11.95,71.42,4204
2026-09-01 13:00,MTR-024,66.15,5.04,12.2,68.81,4205
2026-09-01 14:00,MTR-024,65.92,5.07,12.26,70.89,4206
2026-09-01 15:00,MTR-024,66.68,5.13,12.18,69.59,4207
2026-09-01 16:00,MTR-024,67.41,5.25,12.07,69.48,4208
2026-09-01 17:00,MTR-024,68.2,5.51,12.14,70.41,4209
2026-09-01 18:00,MTR-024,68.06,5.52,12.17,71.92,4210
2026-09-01 19:00,MTR-024,68.57,5.56,12.12,69.59,4211
2026-09-01 20:00,MTR-024,68.46,5.69,11.99,68.59,4212
2026-09-01 21:00,MTR-024,68.92,5.91,12.03,71.59,4213
2026-09-01 22:00,MTR-024,69.08,5.92,12.01,76.17,4214
2026-09-01 23:00,MTR-024,69.73,6.04,12.27,76.08,4215
2026-09-02 00:00,MTR-024,70.25,6.15,12.29,83.03,4216
2026-09-02 01:00,MTR-024,71.07,6.11,12.29,84.31,4217
2026-09-02 02:00,MTR-024,71.65,6.07,12.16,78.59,4218
2026-09-02 03:00,MTR-024,71.92,6.14,12.22,76.28,4219
2026-09-02 04:00,MTR-024,71.79,6.05,12.27,77.39,4220
2026-09-02 05:00,MTR-024,72.44,6.19,12.28,81.44,4221
2026-09-02 06:00,MTR-024,72.69,6.22,12.28,79.69,4222
2026-09-02 07:00,MTR-024,72.24,6.31,12.33,78.6,4223
2026-09-02 08:00,MTR-024,72.29,6.42,12.48,78.71,4224
2026-09-02 09:00,MTR-024,72.41,6.45,12.5,74.92,4225
2026-09-02 10:00,MTR-024,72.66,6.54,12.66,77.75,4226
2026-09-02 11:00,MTR-024,73.33,6.55,12.74,74.33,4227
2026-09-02 12:00,MTR-024,73.74,6.67,12.71,80.33,4228
2026-09-02 13:00,MTR-024,74.23,6.58,12.78,79.11,4229
2026-09-02 14:00,MTR-024,74.53,6.71,12.84,72.99,4230
2026-09-02 15:00,MTR-024,74.43,6.85,12.96,78.7,4231
2026-09-02 16:00,MTR-024,75.36,6.75,13.04,72.95,4232
2026-09-02 17:00,MTR-024,76.22,6.86,12.99,78.98,4233
2026-09-02 18:00,MTR-024,76.75,6.77,13.05,76.79,4234
2026-09-02 19:00,MTR-024,77.09,6.81,13.17,72.52,4235
2026-09-02 20:00,MTR-024,77.5,7.05,13.14,73.15,4236
2026-09-02 21:00,MTR-024,77.87,7.07,13.22,73.44,4237
2026-09-02 22:00,MTR-024,77.84,7.3,13.3,72.94,4238
2026-09-02 23:00,MTR-024,77.92,7.31,13.42,72.5,4239
2026-09-03 00:00,MTR-024,78.38,7.38,13.49,72.15,4240
2026-09-03 01:00,MTR-024,78.95,7.44,13.58,74.17,4241
2026-09-03 02:00,MTR-024,79.21,7.45,13.55,71.95,4242
2026-09-03 03:00,MTR-024,79.16,7.6,13.57,76.66,4243
2026-09-03 04:00,MTR-024,80.26,7.68,13.49,75.51,4244
2026-09-03 05:00,MTR-024,80.53,7.63,13.51,76.37,4245
2026-09-03 06:00,MTR-024,80.67,7.65,13.48,81.73,4246
2026-09-03 07:00,MTR-024,80.92,7.65,13.49,84.6,4247
2026-09-03 08:00,MTR-024,80.98,7.78,13.57,86.84,4248
2026-09-03 09:00,MTR-024,81.77,7.81,13.68,84.47,4249
2026-09-03 10:00,MTR-024,81.93,7.99,13.77,84.47,4250
2026-09-03 11:00,MTR-024,81.81,8.12,13.75,81.7,4251
2026-09-03 12:00,MTR-024,81.88,8.22,13.63,82.78,4252
2026-09-03 13:00,MTR-024,82.24,8.25,13.74,84.62,4253
2026-09-03 14:00,MTR-024,82.33,8.27,13.81,80.07,4254
2026-09-03 15:00,MTR-024,82.52,8.3,13.85,80.7,4255
2026-09-03 16:00,MTR-024,82.83,8.48,13.89,79.76,4256
2026-09-03 17:00,MTR-024,82.7,8.62,13.96,84.11,4257
2026-09-03 18:00,MTR-024,82.74,8.7,13.99,83.85,4258
2026-09-03 19:00,MTR-024,83.05,8.63,14.08,85.81,4259
2026-09-03 20:00,MTR-024,83.74,8.91,14.08,85.7,4260
2026-09-03 21:00,MTR-024,84.05,9.16,13.99,87.16,4261
2026-09-03 22:00,MTR-024,83.83,9.01,13.88,83.01,4262
2026-09-03 23:00,MTR-024,84.5,9.02,13.89,79.52,4263
2026-09-04 00:00,MTR-024,85.02,9.0,14.02,76.54,4264
2026-09-04 01:00,MTR-024,85.05,9.09,14.05,80.81,4265
2026-09-04 02:00,MTR-024,85.39,9.07,14.04,79.1,4266
2026-09-04 03:00,MTR-024,85.95,9.18,14.06,81.7,4267
2026-09-04 04:00,MTR-024,86.06,9.25,14.1,86.29,4268
2026-09-04 05:00,MTR-024,86.33,9.3,14.06,88.35,4269
2026-09-04 06:00,MTR-024,86.42,9.41,13.96,91.48,4270
2026-09-04 07:00,MTR-024,86.26,9.42,14.06,87.47,4271
