timestamp,machine_id,temperature,vibration,current,load,operating_hours
2026-09-01 08:00,P-102,54.96,2.09,7.99,57.11,4000
2026-09-01 09:00,P-102,54.92,1.97,8.01,56.3,4001
2026-09-01 10:00,P-102,54.85,1.98,8.03,59.79,4002
2026-09-01 11:00,P-102,55.05,1.99,7.98,56.75,4003
2026-09-01 12:00,P-102,55.12,2.09,7.99,56.43,4004
2026-09-01 13:00,P-102,55.28,1.98,7.97,57.9,4005
2026-09-01 14:00,P-102,55.55,1.96,7.99,58.65,4006
2026-09-01 15:00,P-102,55.78,1.88,8.02,54.1,4007
2026-09-01 16:00,P-102,54.99,1.83,7.97,56.73,4008
2026-09-01 17:00,P-102,55.19,1.74,8.02,53.73,4009
2026-09-01 18:00,P-102,55.17,1.72,8.03,56.18,4010
2026-09-01 19:00,P-102,55.36,1.75,8.07,57.62,4011
2026-09-01 20:00,P-102,55.17,1.69,8.04,59.11,4012
2026-09-01 21:00,P-102,55.1,1.87,7.99,55.82,4013
2026-09-01 22:00,P-102,55.33,1.97,8.02,58.33,4014
2026-09-01 23:00,P-102,55.75,1.97,7.93,56.73,4015
2026-09-02 00:00,P-102,56.04,1.86,7.93,57.49,4016
2026-09-02 01:00,P-102,55.95,1.91,7.97,64.45,4017
2026-09-02 02:00,P-102,56.13,1.87,7.94,61.96,4018
2026-09-02 03:00,P-102,56.42,1.83,7.93,64.21,4019
2026-09-02 04:00,P-102,56.2,1.8,7.82,60.96,4020
2026-09-02 05:00,P-102,56.03,1.83,7.89,60.9,4021
2026-09-02 06:00,P-102,56.11,1.85,7.96,63.58,4022
2026-09-02 07:00,P-102,56.19,1.77,8.01,64.73,4023
2026-09-02 08:00,P-102,56.56,1.77,8.13,63.65,4024
2026-09-02 09:00,P-102,57.04,1.78,8.1,60.26,4025
2026-09-02 10:00,P-102,56.99,1.88,8.15,62.33,4026
2026-09-02 11:00,P-102,56.28,1.94,8.18,60.68,4027
2026-09-02 12:00,P-102,56.09,1.94,8.28,57.52,4028
2026-09-02 13:00,P-102,55.96,2.04,8.26,56.42,4029
2026-09-02 14:00,P-102,55.99,1.95,8.27,52.79,4030
2026-09-02 15:00,P-102,56.26,1.95,8.41,53.64,4031
2026-09-02 16:00,P-102,56.67,1.85,8.4,54.61,4032
2026-09-02 17:00,P-102,57.19,1.72,8.46,56.38,4033
2026-09-02 18:00,P-102,57.65,1.78,8.46,54.82,4034
2026-09-02 19:00,P-102,57.28,1.79,8.45,60.88,4035
2026-09-02 20:00,P-102,57.09,1.82,8.36,59.69,4036
2026-09-02 21:00,P-102,57.17,1.88,8.44,59.56,4037
2026-09-02 22:00,P-102,56.84,1.91,8.48,61.03,4038
2026-09-02 23:00,P-102,56.63,2.0,8.48,63.13,4039
2026-09-03 00:00,P-102,57.01,2.04,8.5,69.59,4040
2026-09-03 01:00,P-102,57.08,2.02,8.5,74.04,4041
2026-09-03 02:00,P-102,57.12,2.06,8.58,72.5,4042
2026-09-03 03:00,P-102,56.6,2.08,8.59,70.68,4043
2026-09-03 04:00,P-102,56.86,2.13,8.53,72.23,4044
2026-09-03 05:00,P-102,56.8,2.02,8.56,72.1,4045
2026-09-03 06:00,P-102,56.58,2.05,8.59,70.36,4046
2026-09-03 07:00,P-102,56.7,2.13,8.54,71.51,4047
