timestamp,machine_id,temperature,vibration,current,load,operating_hours
2026-09-01 08:00,C-014,75.66,6.19,12.97,84.03,3800
2026-09-01 09:00,C-014,77.11,6.12,12.9,86.45,3801
2026-09-01 10:00,C-014,77.16,6.25,12.98,88.53,3802
2026-09-01 11:00,C-014,77.75,6.45,12.97,92.41,3803
2026-09-01 12:00,C-014,78.2,6.67,12.99,92.73,3804
2026-09-01 13:00,C-014,78.81,6.83,12.96,95.11,3805
2026-09-01 14:00,C-014,80.22,7.04,13.1,97.63,3806
2026-09-01 15:00,C-014,81.39,7.26,13.19,100,3807
2026-09-01 16:00,C-014,82.12,7.31,13.26,94.33,3808
2026-09-01 17:00,C-014,82.82,7.55,13.46,94.79,3809
2026-09-01 18:00,C-014,83.98,7.73,13.43,90.55,3810
2026-09-01 19:00,C-014,84.2,7.74,13.56,89.93,3811
2026-09-01 20:00,C-014,85.18,7.92,13.73,93.11,3812
2026-09-01 21:00,C-014,85.56,8.07,13.75,88.25,3813
2026-09-01 22:00,C-014,86.6,8.4,13.82,86.77,3814
2026-09-01 23:00,C-014,87.84,8.29,13.91,87.2,3815
2026-09-02 00:00,C-014,88.26,8.64,14.07,86.42,3816
2026-09-02 01:00,C-014,88.91,8.77,14.09,82.49,3817
2026-09-02 02:00,C-014,90.3,9.08,14.24,79.21,3818
2026-09-02 03:00,C-014,92.04,9.51,14.33,76.49,3819
2026-09-02 04:00,C-014,92.31,9.74,14.31,76.39,3820
2026-09-02 05:00,C-014,93.55,9.73,14.58,81.09,3821
2026-09-02 06:00,C-014,93.64,9.73,14.62,78.0,3822
2026-09-02 07:00,C-014,94.2,9.59,14.67,83.41,3823
2026-09-02 08:00,C-014,94.35,9.74,14.59,85.32,3824
2026-09-02 09:00,C-014,94.93,10.16,14.68,84.21,3825
2026-09-02 10:00,C-014,95.91,10.28,14.62,85.11,3826
2026-09-02 11:00,C-014,96.52,10.48,14.73,83.58,3827
2026-09-02 12:00,C-014,97.43,10.88,14.68,88.79,3828
2026-09-02 13:00,C-014,98.01,10.96,15.0,89.26,3829
2026-09-02 14:00,C-014,99.4,11.24,14.9,89.62,3830
2026-09-02 15:00,C-014,99.83,11.25,14.79,89.93,3831
2026-09-02 16:00,C-014,100.83,11.48,14.83,87.53,3832
2026-09-02 17:00,C-014,101.03,11.59,14.8,86.92,3833
2026-09-02 18:00,C-014,101.72,11.66,14.85,84.64,3834
2026-09-02 19:00,C-014,102.42,11.9,14.93,86.06,3835
2026-09-02 20:00,C-014,102.3,12.04,15.03,87.98,3836
2026-09-02 21:00,C-014,102.2,12.24,15.22,87.44,3837
2026-09-02 22:00,C-014,102.85,12.47,15.32,89.47,3838
2026-09-02 23:00,C-014,103.58,12.67,15.31,88.96,3839
2026-09-03 00:00,C-014,104.91,12.83,15.36,87.48,3840
2026-09-03 01:00,C-014,106.01,12.9,15.52,84.67,3841
2026-09-03 02:00,C-014,106.18,13.11,15.6,85.56,3842
2026-09-03 03:00,C-014,107.41,13.23,15.72,82.84,3843
2026-09-03 04:00,C-014,108.74,13.49,15.84,83.4,3844
2026-09-03 05:00,C-014,109.04,13.63,15.96,83.34,3845
2026-09-03 06:00,C-014,109.81,13.64,16.05,81.27,3846
2026-09-03 07:00,C-014,109.96,13.8,15.94,83.36,3847
